App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,sentiment_score
Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,994,2.9M,100000,Free,0.0,Everyone,Auto & Vehicles,"March 27, 2018",1.6,4.1 and up,-0.13333333333333328
BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.3,348,38M,100000,Free,0.0,Everyone,Auto & Vehicles,"July 29, 2018",1.0.3,2.3 and up,0.3076986076986077
AutoScout24 Switzerland – Find your new car,AUTO_AND_VEHICLES,4.6,13372,Varies with device,1000000,Free,0.0,Everyone,Auto & Vehicles,"August 3, 2018",Varies with device,Varies with device,0.4169514157014157
Fuelio: Gas log & costs,AUTO_AND_VEHICLES,4.6,65786,Varies with device,1000000,Free,0.0,Everyone,Auto & Vehicles,"August 2, 2018",Varies with device,4.0.3 and up,0.4408648682441296
"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,1739,21M,500000,Free,0.0,Everyone,Beauty,"July 12, 2018",1.0.6,4.0.3 and up,-0.03798581048581047
Hairstyles step by step,BEAUTY,4.6,4369,14M,100000,Free,0.0,Everyone,Beauty,"July 25, 2018",1.9,4.0.3 and up,0.47091306584362136
Filters for Selfie,BEAUTY,4.3,8572,25M,1000000,Free,0.0,Everyone,Beauty,"May 10, 2018",1.1.0,4.0 and up,0.09912037037037036
Beauty Camera - Selfie Camera,BEAUTY,4.0,113715,Varies with device,10000000,Free,0.0,Everyone,Beauty,"August 3, 2017",Varies with device,Varies with device,0.19999366181657846
Filters for B Live,BEAUTY,4.4,2280,24M,500000,Free,0.0,Everyone,Beauty,"May 14, 2018",1.1.0,4.0 and up,0.1680176767676768
Dresses Ideas & Fashions +3000,BEAUTY,4.5,473,8.2M,100000,Free,0.0,Mature 17+,Beauty,"March 1, 2017",1.0.2.0,1.6 and up,0.4306034482758621
Cool Reader,BOOKS_AND_REFERENCE,4.5,246315,Varies with device,10000000,Free,0.0,Everyone,Books & Reference,"July 17, 2015",Varies with device,1.5 and up,0.11584079160970608
Free Panda Radio Music,BOOKS_AND_REFERENCE,4.5,418,4.2M,100000,Free,0.0,Everyone,Books & Reference,"March 27, 2018",2.1,4.1 and up,0.25
FBReader: Favorite Book Reader,BOOKS_AND_REFERENCE,4.5,203130,Varies with device,10000000,Free,0.0,Everyone,Books & Reference,"June 28, 2018",Varies with device,Varies with device,0.2777048112144266
AlReader -any text book reader,BOOKS_AND_REFERENCE,4.6,90468,5.9M,5000000,Free,0.0,Everyone,Books & Reference,"May 27, 2018",1.911805270,2.3 and up,0.2455511849261849
FamilySearch Tree,BOOKS_AND_REFERENCE,4.3,17506,17M,1000000,Free,0.0,Everyone,Books & Reference,"July 20, 2018",2.3.18,4.1 and up,0.2093258302268719
All Maths Formulas,BOOKS_AND_REFERENCE,4.4,2709,6.8M,1000000,Free,0.0,Everyone,Books & Reference,"July 11, 2018",1.9,4.4 and up,0.354636544011544
Ancestry,BOOKS_AND_REFERENCE,4.3,64513,Varies with device,5000000,Free,0.0,Everyone,Books & Reference,"July 31, 2018",Varies with device,Varies with device,0.27263030438253655
HTC Help,BOOKS_AND_REFERENCE,4.2,8342,Varies with device,10000000,Free,0.0,Everyone,Books & Reference,"August 28, 2017",9.00.950462,7.0 and up,0.10687021254208753
English-Myanmar Dictionary,BOOKS_AND_REFERENCE,4.4,8788,10M,1000000,Free,0.0,Everyone,Books & Reference,"July 28, 2018",2.5.3,4.0 and up,0.3935134237107921
Golden Dictionary (EN-AR),BOOKS_AND_REFERENCE,4.4,51269,6.1M,1000000,Free,0.0,Everyone,Books & Reference,"July 19, 2018",7.0.4.6,4.2 and up,0.34045045045045047
All Language Translator Free,BOOKS_AND_REFERENCE,4.4,30105,2.1M,1000000,Free,0.0,Everyone,Books & Reference,"July 29, 2018",1.15,4.0.3 and up,0.3927835497835498
Azpen eReader,BOOKS_AND_REFERENCE,3.5,156,42M,500000,Free,0.0,Everyone,Books & Reference,"February 15, 2018",3.1.7.9,2.2 and up,0.24262422360248445
Google Primer,BUSINESS,4.4,62272,18M,10000000,Free,0.0,Everyone,Business,"June 26, 2018",3.550.2,4.1 and up,0.75
Easy Installer - Apps On SD,BUSINESS,4.1,23055,Varies with device,5000000,Free,0.0,Everyone,Business,"June 8, 2018",Varies with device,Varies with device,-0.00911033411033411
Cisco Webex Meetings,BUSINESS,4.4,108741,28M,10000000,Free,0.0,Everyone,Business,"July 20, 2018",11.1.0,4.3 and up,0.10357702482702483
Cisco Webex Teams,BUSINESS,4.2,1661,46M,100000,Free,0.0,Everyone,Business,"August 2, 2018",3.0.4651,4.4 and up,0.1294181246993747
Box,BUSINESS,4.2,159872,Varies with device,10000000,Free,0.0,Everyone,Business,"July 31, 2018",Varies with device,Varies with device,0.41000050875050875
Google My Business,BUSINESS,4.4,70991,Varies with device,5000000,Free,0.0,Everyone,Business,"July 24, 2018",2.19.0.204537701,4.4 and up,0.26843628593628593
FreshBooks Classic,BUSINESS,4.1,1802,26M,100000,Free,0.0,Everyone,Business,"April 18, 2018",1.7.14,4.2 and up,0.10052989270057915
HipChat - Chat Built for Teams,BUSINESS,3.8,5868,20M,500000,Free,0.0,Everyone,Business,"July 3, 2018",3.19.005,4.1 and up,-0.037827876788915756
Crew - Free Messaging and Scheduling,BUSINESS,4.6,4159,48M,500000,Free,0.0,Everyone,Business,"July 20, 2018",6.1.2,4.0.3 and up,0.4173319523358586
Asana: organize team projects,BUSINESS,4.3,20815,10M,1000000,Free,0.0,Everyone,Business,"July 26, 2018",6.4.4,5.0 and up,0.2306454630830486
AdWords Express,BUSINESS,4.1,7149,11M,1000000,Free,0.0,Everyone,Business,"July 31, 2018",2.6.158,4.0 and up,0.1948439393939394
Accounting App - Zoho Books,BUSINESS,4.5,3079,8.5M,100000,Free,0.0,Everyone,Business,"August 2, 2018",5.20.7,4.1 and up,0.44866448692152916
Genius Scan - PDF Scanner,BUSINESS,4.4,42492,Varies with device,1000000,Free,0.0,Everyone,Business,"July 11, 2018",Varies with device,Varies with device,0.24316067612942613
Fast Scanner : Free PDF Scan,BUSINESS,4.5,103755,14M,10000000,Free,0.0,Everyone,Business,"July 11, 2018",3.9.2,4.1 and up,0.3130631605631605
Docs To Go™ Free Office Suite,BUSINESS,4.1,217730,Varies with device,50000000,Free,0.0,Everyone,Business,"April 2, 2018",Varies with device,Varies with device,0.2062907848324515
"Best Wallpapers Backgrounds(100,000+ 4K HD)",COMICS,4.7,3596,7.8M,10000,Free,0.0,Teen,Comics,"June 16, 2018",1.01,4.0.3 and up,0.30042929292929293
Contacts,COMMUNICATION,4.3,66602,Varies with device,50000000,Free,0.0,Everyone,Communication,"June 26, 2018",2.8.4.201036949,5.0 and up,0.012248710230089457
Browser 4G,COMMUNICATION,4.3,192948,6.6M,10000000,Free,0.0,Everyone,Communication,"June 19, 2018",24.6.6,4.0.3 - 7.1.1,0.33708361185383245
Cricket Visual Voicemail,COMMUNICATION,3.9,13698,5.1M,10000000,Free,0.0,Everyone,Communication,"July 2, 2018",3.2.0.100171,4.1 and up,0.0620025918195561
AT&T Visual Voicemail,COMMUNICATION,3.7,13761,Varies with device,10000000,Free,0.0,Everyone,Communication,"June 27, 2018",Varies with device,Varies with device,0.029975541125541127
GMX Mail,COMMUNICATION,4.3,258556,Varies with device,10000000,Free,0.0,Everyone,Communication,"July 25, 2018",Varies with device,Varies with device,0.3400470779220779
"GO SMS Pro - Messenger, Free Themes, Emoji",COMMUNICATION,4.4,2876500,24M,100000000,Free,0.0,Everyone,Communication,"August 1, 2018",7.73,4.0 and up,0.2024882756132756
Android Messages,COMMUNICATION,4.2,781810,Varies with device,100000000,Free,0.0,Everyone,Communication,"August 1, 2018",Varies with device,Varies with device,0.071675937548939
GroupMe,COMMUNICATION,4.5,330761,Varies with device,10000000,Free,0.0,Everyone,Communication,"July 3, 2018",Varies with device,Varies with device,0.11844004086191585
2ndLine - Second Phone Number,COMMUNICATION,4.2,15880,32M,1000000,Free,0.0,Everyone,Communication,"August 3, 2018",5.65.0,4.0 and up,0.16896820887445888
Contacts+,COMMUNICATION,4.2,190613,11M,10000000,Free,0.0,Everyone,Communication,"July 31, 2018",5.85.1,4.0.3 and up,0.41081458319945163
ExDialer - Dialer & Contacts,COMMUNICATION,4.2,125232,2.7M,10000000,Free,0.0,Everyone,Communication,"March 5, 2017",196,2.1 and up,0.2713527987019366
Calls & Text by Mo+,COMMUNICATION,4.2,83239,14M,5000000,Free,0.0,Everyone,Communication,"April 19, 2018",3.0.4,4.0 and up,0.4666666666666666
Full Screen Caller ID,COMMUNICATION,4.2,104990,10M,5000000,Free,0.0,Everyone,Communication,"May 15, 2018",3.5.0,4.0.3 and up,0.34557612414467254
Call Blocker,COMMUNICATION,4.1,17529,10M,1000000,Free,0.0,Everyone,Communication,"July 26, 2018",5.86,4.0.3 and up,0.027972582972582965
CIA - Caller ID & Call Blocker,COMMUNICATION,4.0,60308,Varies with device,5000000,Free,0.0,Everyone,Communication,"June 22, 2018",Varies with device,Varies with device,0.21781462585034012
Calls Blacklist - Call Blocker,COMMUNICATION,4.5,457283,Varies with device,10000000,Free,0.0,Everyone,Communication,"May 24, 2018",Varies with device,Varies with device,0.12416233766233768
Call Control - Call Blocker,COMMUNICATION,4.4,93825,11M,5000000,Free,0.0,Everyone,Communication,"July 5, 2018",2.17.3,4.1 and up,-0.041666666666666664
Burner - Free Phone Number,COMMUNICATION,4.3,14873,Varies with device,1000000,Free,0.0,Everyone,Communication,"July 12, 2018",Varies with device,Varies with device,0.06530092592592592
Caller ID +,COMMUNICATION,4.0,9498,118k,1000000,Free,0.0,Everyone,Communication,"June 7, 2016",5.28.0,2.3 and up,0.35
All Email Providers,COMMUNICATION,4.1,20901,7.3M,1000000,Free,0.0,Everyone,Communication,"April 3, 2018",5.0.9,4.1 and up,0.21500000000000002
GO Notifier,COMMUNICATION,4.2,124346,695k,10000000,Free,0.0,Everyone,Communication,"July 6, 2014",2.8,2.0 and up,0.06751958927510399
Free Dating App & Flirt Chat - Match with Singles,DATING,4.4,172460,3.1M,5000000,Free,0.0,Mature 17+,Dating,"August 4, 2018",1.639,4.0 and up,0.33969696969696966
Free Dating App & Flirt Chat - Cheers,DATING,4.4,667,27M,10000,Free,0.0,Mature 17+,Dating,"August 3, 2018",1.308.us,4.1 and up,0.3019262941919192
BLK - Swipe. Match. Chat.,DATING,4.1,2067,24M,100000,Free,0.0,Mature 17+,Dating,"July 25, 2018",1.6.1,4.4 and up,0.30767763519549235
BeWild Free Dating & Chat App,DATING,3.4,1999,8.0M,100000,Free,0.0,Mature 17+,Dating,"February 3, 2017",1.6.5,4.2 and up,0.17037221276530487
BBWCupid - BBW Dating App,DATING,3.5,241,2.8M,50000,Free,0.0,Mature 17+,Dating,"June 1, 2018",2.2.0.1748,5.0 and up,0.1269117330480967
ChatVideo Meet new people,DATING,4.2,63986,20M,5000000,Free,0.0,Mature 17+,Dating,"May 31, 2018",3.0.15,4.0 and up,0.23191982566982566
CMB Free Dating App,DATING,4.0,48845,40M,1000000,Free,0.0,Mature 17+,Dating,"August 1, 2018",4.19.0.2320,4.4 and up,0.2917571204040017
Hinge: Dating & Relationships,DATING,4.2,7779,12M,500000,Free,0.0,Mature 17+,Dating,"August 3, 2018",6.1.3,5.0 and up,0.15679880237851251
"Herpes Dating: 1,000K+ Singles",DATING,4.0,738,27M,10000,Free,0.0,Mature 17+,Dating,"August 1, 2018",6.4.1,4.1 and up,0.1741083044249897
Cougar Dating Life : Date Older Women Sugar Mummy,DATING,3.9,1645,31M,500000,Free,0.0,Mature 17+,Dating,"July 3, 2018",4.5.5,4.1 and up,0.32457028157028156
2RedBeans,DATING,4.0,337,32M,10000,Free,0.0,Mature 17+,Dating,"July 31, 2018",2.8.0,4.3 and up,0.4121991790261021
Dating for 50 plus Mature Singles – FINALLY,DATING,4.6,13049,13M,500000,Free,0.0,Mature 17+,Dating,"July 31, 2018",4.17.2,4.1 and up,0.3325396825396825
"BiggerCity: Chat for gay bears, chubs & chasers",DATING,4.1,923,44M,100000,Free,0.0,Mature 17+,Dating,"August 2, 2018",3.4.1.1,4.1 and up,0.21167546399141793
Herpes Positive Singles Dating,DATING,4.4,198,28M,10000,Free,0.0,Mature 17+,Dating,"May 18, 2018",5.5.7,4.1 and up,0.3066502396413111
"Chat Rooms, Avatars, Date - Galaxy",DATING,4.3,135420,Varies with device,10000000,Free,0.0,Mature 17+,Dating,"July 7, 2018",Varies with device,Varies with device,0.13805248558538033
"FastMeet: Chat, Dating, Love",DATING,4.2,22545,5.9M,1000000,Free,0.0,Mature 17+,Dating,"July 27, 2018",1.31.4,4.0.3 and up,0.3441734006734007
Christian Dating For Free App,DATING,3.9,8723,13M,500000,Free,0.0,Mature 17+,Dating,"June 20, 2018",15.8,4.1 and up,0.09802603289938565
Gay Sugar Daddy Dating & Hookup – Sudy Gay,DATING,4.1,2212,41M,100000,Free,0.0,Mature 17+,Dating,"June 20, 2018",2.0.5,4.0.3 and up,0.20086835232668565
"Hide App, Private Dating, Safe Chat - PrivacyHider",DATING,4.4,35205,7.2M,1000000,Free,0.0,Everyone,Dating,"May 21, 2018",2.9.6,4.0 and up,-0.06963979416809606
Hitwe - meet people and chat,DATING,4.2,243950,21M,10000000,Free,0.0,Mature 17+,Dating,"May 10, 2018",4.3.2,4.1 and up,-0.13945601851851852
FERZU - Furries Social Network,DATING,3.9,1576,Varies with device,10000,Free,0.0,Mature 17+,Dating,"February 16, 2018",4.4.1,4.1 and up,0.08186532214817471
95Live -SG#1 Live Streaming App,DATING,4.1,4954,15M,1000000,Free,0.0,Teen,Dating,"August 1, 2018",8.7.2,4.2 and up,0.06900233100233101
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,4.1,2560,56M,100000,Free,0.0,Mature 17+,Dating,"August 1, 2018",2.5.2,4.1 and up,0.03377859477124183
Black People Meet Singles Date,DATING,3.9,10212,5.0M,1000000,Free,0.0,Mature 17+,Dating,"July 25, 2018",1.9.7,4.4 and up,0.24934125871422946
Free Dating & Flirt Chat - Choice of Love,DATING,4.0,42197,Varies with device,5000000,Free,0.0,Mature 17+,Dating,"July 24, 2018",Varies with device,Varies with device,0.03296536796536796
BBW Dating & Plus Size Chat,DATING,4.4,12633,29M,1000000,Free,0.0,Mature 17+,Dating,"July 27, 2018",3.5.0.1,4.1 and up,0.13124668499668501
"2Date Dating App, Love and matching",DATING,4.4,41605,8.1M,500000,Free,0.0,Mature 17+,Dating,"July 26, 2018",4.813,4.0.3 and up,0.2802671702652353
BBW Dating & Curvy Singles Chat- LargeFriends,DATING,4.4,218,27M,10000,Free,0.0,Mature 17+,Dating,"July 23, 2018",5.2.9,4.1 and up,0.18276632996632997
FlirtChat - ♥Free Dating/Flirting App♥,DATING,4.3,2433,13M,500000,Free,0.0,Mature 17+,Dating,"July 26, 2018",12.0.4,4.1 and up,0.4209925788497217
Free Dating App - Meet Local Singles - Flirt Chat,DATING,4.1,825,Varies with device,100000,Free,0.0,Mature 17+,Dating,"December 28, 2017",1.0.5,4.0 and up,-0.050325832956429964
Free Live Talk-Video Call,DATING,4.7,158,4.5M,10000,Free,0.0,Mature 17+,Dating,"July 5, 2018",8.2,4.0.3 and up,-0.1
Free Dating Hook Up Messenger,DATING,3.3,1157,21M,100000,Free,0.0,Mature 17+,Dating,"January 27, 2017",5.0.1,4.2 and up,0.14728845283112993
"Free Dating App - YoCutie - Flirt, Chat & Meet",DATING,4.1,97699,7.9M,1000000,Free,0.0,Mature 17+,Dating,"July 10, 2018",1.230,4.0.3 and up,0.11783620099298064
Flippy Campus - Buy & sell on campus at a discount,EDUCATION,4.0,889,7.4M,500000,Free,0.0,Everyone,Education,"March 9, 2018",2.2.4,4.2 and up,0.39528393175452
ABC Preschool Free,EDUCATION,3.8,27572,25M,5000000,Free,0.0,Everyone,Education;Education,"October 25, 2017",3.0,2.3 and up,0.22080488040123458
English with Lingualeo,EDUCATION,4.7,254519,27M,5000000,Free,0.0,Everyone,Education,"July 20, 2018",2.8.1,4.1 and up,0.13516865079365079
C++ Tutorials,EDUCATION,4.1,358,1.9M,50000,Free,0.0,Everyone,Education,"August 21, 2014",1.1,2.3 and up,0.5309259259259259
C++ Programming,EDUCATION,4.3,11904,1.8M,1000000,Free,0.0,Everyone,Education,"August 22, 2015",2.0,2.3 and up,0.19645104943282027
GMAT Question Bank,EDUCATION,4.2,240,29M,10000,Free,0.0,Everyone,Education,"April 29, 2015",1.2.0,2.3.3 and up,0.26889992360580595
GRE Tutor,EDUCATION,4.0,275,2.3M,50000,Free,0.0,Everyone,Education,"December 2, 2013",2.9,2.1 and up,0.4086946386946387
GRE Flashcards,EDUCATION,4.5,13791,Varies with device,500000,Free,0.0,Everyone,Education,"June 6, 2018",Varies with device,Varies with device,0.26205528749799584
GMAT Math Flashcards,EDUCATION,4.4,1769,Varies with device,100000,Free,0.0,Everyone,Education,"July 11, 2018",Varies with device,Varies with device,0.41273599712401793
GRE Prep & Practice by Magoosh,EDUCATION,4.4,3963,Varies with device,100000,Free,0.0,Everyone,Education,"June 6, 2018",Varies with device,Varies with device,0.38801571268237933
Brilliant,EDUCATION,4.5,41185,Varies with device,1000000,Free,0.0,Everyone,Education,"August 3, 2018",Varies with device,Varies with device,0.2416548327664399
Babbel – Learn Spanish,EDUCATION,4.4,54798,11M,1000000,Free,0.0,Everyone,Education,"July 30, 2018",20.7.2,4.4 and up,0.3093640734265734
HomeWork,EDUCATION,4.3,16195,5.2M,1000000,Free,0.0,Everyone,Education,"September 20, 2016",8.5.2,4.0 and up,1.0
Common Core,EDUCATION,4.0,835,15M,100000,Free,0.0,Everyone,Education,"December 20, 2016",2.3.1,2.3 and up,-0.008810779993815717
Homework Planner,EDUCATION,4.0,2525,1.2M,100000,Free,0.0,Everyone,Education,"January 11, 2015",15.9.4,4.0 and up,0.2775236133048633
Canvas Student,EDUCATION,4.5,42828,Varies with device,1000000,Free,0.0,Everyone,Education,"July 20, 2018",Varies with device,Varies with device,0.125
EasyBib: Citation Generator,EDUCATION,3.5,1405,7.3M,100000,Free,0.0,Everyone,Education,"March 29, 2018",2.4.4,4.0 and up,0.07183166248955723
"HelloTalk — Chat, Speak & Learn Foreign Languages",EDUCATION,4.4,84311,41M,5000000,Free,0.0,Everyone,Education,"July 25, 2018",2.6.6,4.1 and up,0.20232638888888888
Hotstar,ENTERTAINMENT,4.3,4885646,Varies with device,100000000,Free,0.0,Teen,Entertainment,"August 3, 2018",Varies with device,Varies with device,0.03817782617308287
DStv Now,ENTERTAINMENT,3.9,34923,Varies with device,5000000,Free,0.0,Teen,Entertainment,"July 27, 2018",Varies with device,Varies with device,0.023143659003034008
BBC Media Player,ENTERTAINMENT,3.4,87384,Varies with device,10000000,Free,0.0,Everyone,Entertainment,"September 14, 2016",Varies with device,Varies with device,-0.028519833754208756
Amazon Prime Video,ENTERTAINMENT,4.2,411683,24M,50000000,Free,0.0,Teen,Entertainment,"August 2, 2018",3.0.231.18141,4.1 and up,0.46111111111111114
Cinemark Theatres,ENTERTAINMENT,4.1,21867,39M,1000000,Free,0.0,Teen,Entertainment,"July 12, 2018",2.19.0,5.0 and up,0.07015540674603174
Harkins Theatres,ENTERTAINMENT,4.3,1511,12M,100000,Free,0.0,Everyone,Entertainment,"June 11, 2018",2.1.1,4.1 and up,0.08864442831572626
AMC Theatres,ENTERTAINMENT,4.3,44550,72M,1000000,Free,0.0,Everyone,Entertainment,"July 18, 2018",6.18.3,5.0 and up,0.13569444444444442
Cooking Channel,ENTERTAINMENT,4.1,1033,16M,100000,Free,0.0,Teen,Entertainment,"July 27, 2018",Varies with device,Varies with device,0.364018944018944
Animal Planet GO,ENTERTAINMENT,4.2,2442,9.6M,100000,Free,0.0,Teen,Entertainment,"July 24, 2018",2.9.4,4.1 and up,0.2735714285714286
Acorn TV: World-class TV from Britain and Beyond,ENTERTAINMENT,3.0,493,23M,50000,Free,0.0,Everyone,Entertainment,"June 15, 2018",2.0.0,4.4 and up,0.0860583905828471
Crunchyroll - Everything Anime,ENTERTAINMENT,3.7,310066,Varies with device,10000000,Free,0.0,Teen,Entertainment,"March 5, 2018",Varies with device,Varies with device,0.17751003336940838
FOX NOW - On Demand & Live TV,ENTERTAINMENT,3.9,60841,Varies with device,5000000,Free,0.0,Teen,Entertainment,"July 26, 2018",Varies with device,4.4 and up,0.04809023630759121
HISTORY: Watch TV Show Full Episodes & Specials,ENTERTAINMENT,4.1,33387,20M,1000000,Free,0.0,Teen,Entertainment,"July 16, 2018",3.1.4,4.4 and up,0.2112787731438599
Comedy Central,ENTERTAINMENT,3.9,22378,19M,1000000,Free,0.0,Teen,Entertainment,"July 8, 2018",11.45.0,4.4 and up,0.17142376628681777
BET NOW - Watch Shows,ENTERTAINMENT,4.2,14807,19M,1000000,Free,0.0,Teen,Entertainment,"July 8, 2018",11.45.0,4.4 and up,0.05108807569745069
FOX,ENTERTAINMENT,3.7,197774,44M,10000000,Free,0.0,Mature 17+,Entertainment,"June 25, 2018",6.6.1,4.4 and up,0.21398402523402524
Fandango Movies - Times + Tickets,ENTERTAINMENT,4.6,243747,Varies with device,10000000,Free,0.0,Teen,Entertainment,"August 2, 2018",Varies with device,Varies with device,0.1426018885515639
Hamilton — The Official App,ENTERTAINMENT,4.5,1575,43M,100000,Free,0.0,Everyone,Entertainment,"July 13, 2018",2.3.2,5.0 and up,0.16104723181360087
Funny Pics,ENTERTAINMENT,3.9,9941,Varies with device,1000000,Free,0.0,Teen,Entertainment,"July 7, 2017",Varies with device,Varies with device,0.15368272005772005
All Events in City,EVENTS,4.0,3782,9.5M,100000,Free,0.0,Everyone,Events,"June 12, 2018",8.4,4.0.3 and up,0.5028597402597402
DroidAdmin for Android - Advice,EVENTS,4.2,811,2.8M,10000,Free,0.0,Everyone,Events,"May 29, 2018",3.8,4.0 and up,0.12617521367521367
Happy Birthday Songs Offline,EVENTS,4.4,464,8.9M,100000,Free,0.0,Everyone,Events,"December 4, 2017",1.3,4.1 and up,0.36470588235294116
"Gametime - Tickets to Sports, Concerts, Theater",EVENTS,4.5,8800,24M,1000000,Free,0.0,Everyone,Events,"July 17, 2018",11.1.1,5.0 and up,0.3797400972400973
Goldstar: Live Event Tickets,EVENTS,4.5,1953,Varies with device,100000,Free,0.0,Teen,Events,"August 1, 2018",Varies with device,Varies with device,0.5492664141414141
Citibanamex Movil,FINANCE,3.6,52306,42M,5000000,Free,0.0,Everyone,Finance,"July 27, 2018",20.1.0,5.0 and up,0.15006144781144778
Bualuang mBanking,FINANCE,4.0,48445,10M,5000000,Free,0.0,Everyone,Finance,"July 16, 2018",2.6.0,4.0.3 and up,0.0043220192117251
BBVA Spain,FINANCE,4.2,36746,Varies with device,5000000,Free,0.0,Everyone,Finance,"July 24, 2018",Varies with device,Varies with device,0.515085705540251
Ecobank Mobile Banking,FINANCE,4.0,12073,42M,1000000,Free,0.0,Everyone,Finance,"May 25, 2018",3.3,4.2 and up,-0.014860031943365274
Banorte Movil,FINANCE,4.1,111632,65M,1000000,Free,0.0,Everyone,Finance,"June 9, 2018",5.10.1.40699,4.4 and up,0.11699866799866801
"GCash - Buy Load, Pay Bills, Send Money",FINANCE,4.0,25508,Varies with device,1000000,Free,0.0,Everyone,Finance,"July 31, 2018",Varies with device,4.2 and up,0.027082440851972103
"Even - organize your money, get paid early",FINANCE,4.8,12304,21M,100000,Free,0.0,Everyone,Finance,"August 2, 2018",6.0.16,5.0 and up,0.2839285714285714
Expense IQ Money Manager,FINANCE,4.4,21570,27M,1000000,Free,0.0,Everyone,Finance,"June 19, 2018",2.0.4,4.0 and up,0.22750618948703624
Experian - Free Credit Report,FINANCE,4.6,23130,46M,1000000,Free,0.0,Everyone,Finance,"July 12, 2018",2.1.4,4.2 and up,0.1705043708304578
Branch,FINANCE,4.6,69973,3.8M,1000000,Free,0.0,Everyone,Finance,"July 23, 2018",1.17.1,4.0 and up,0.26422979797979795
CreditWise from Capital One,FINANCE,4.6,26587,8.4M,1000000,Free,0.0,Everyone,Finance,"July 19, 2018",1.18.0,4.4 and up,0.23945429387863595
Credit Sesame,FINANCE,4.3,25166,11M,1000000,Free,0.0,Everyone,Finance,"July 25, 2018",3.1.16,4.1 and up,0.08866738579403052
Fresh EBT - Food Stamp Balance,FINANCE,4.5,19870,7.4M,1000000,Free,0.0,Everyone,Finance,"July 24, 2018",2.9.5,4.0.3 and up,0.15972740535608185
Bloomberg Professional,FINANCE,4.1,3334,Varies with device,500000,Free,0.0,Everyone,Finance,"July 23, 2018",Varies with device,Varies with device,-0.023352723665223667
Fox Business,FINANCE,3.7,2594,Varies with device,500000,Free,0.0,Everyone,Finance,"March 13, 2018",Varies with device,Varies with device,0.08882674106938812
Digit Save Money Automatically,FINANCE,4.5,8188,22M,100000,Free,0.0,Everyone,Finance,"July 31, 2018",2.29.01,4.1 and up,0.250246308750773
Acorns - Invest Spare Change,FINANCE,4.3,45962,Varies with device,1000000,Free,0.0,Everyone,Finance,"July 31, 2018",Varies with device,Varies with device,0.04666666666666667
Current debit card and app made for teens,FINANCE,4.3,685,21M,50000,Free,0.0,Everyone,Finance,"August 3, 2018",3.0.22,4.4 and up,0.3272583733540765
